"","V1","V2","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"82","1",1.82213,0.45468,0.96082,-0.31685,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148
"118","1",-0.07854,0.45468,0.96082,-0.31685,1.60383,0.80523,1.43533,0.13136,-1.13788,0.52975,0.40148
"199","1",-0.07854,-0.05921,0.96082,-0.31685,-0.05188,0.47617,0.58331,0.76096,-0.00665,1.86203,1.2247
"343","1",-0.95197,-2.43591,0.96082,-0.31685,0.22393,-0.15487,-0.01928,-0.15487,-0.40581,0.88113,-0.84637
"344","1",0.49788,1.16365,0.96082,-0.31685,-1.86962,0.16767,1.43533,1.81866,1.13407,-0.71126,-0.84637
"350","1",0.49788,-0.61113,0.96082,-0.31685,1.02119,-0.57545,0.88309,1.2861,-0.65253,0.88113,-0.21575
"359","1",-0.07854,-0.61113,0.96082,-0.31685,-0.58016,1.58487,0.58331,0.13136,0.41594,1.29221,1.92173
"361","1",0.49788,-0.05921,0.96082,-0.31685,0.62967,0.63779,1.06238,0.94156,1.30612,0.88113,0.40148
"369","1",-0.07854,0.45468,0.96082,-0.31685,1.23461,0.32197,0.29338,0.76096,-0.65253,0.19268,-0.21575
"424","1",1.09449,1.98437,-0.57009,-0.31685,0.52135,0.00332,1.65653,0.94156,-0.00665,1.29221,0.40148
"437","1",-0.07854,0.45468,-0.57009,-0.31685,2.82196,-0.43999,-0.84732,-1.772,-2.04506,0.88113,0.07987
"459","1",-0.95197,0.45468,0.96082,-0.31685,1.23461,-1.37639,1.24033,-1.772,0.25953,0.88113,0.07987
"469","1",1.09449,-1.7379,-0.57009,-0.31685,2.82196,-1.6334,-1.42424,1.61108,-2.04506,-0.21712,0.07987
"472","1",-0.95197,-2.43591,0.96082,-0.31685,0.31287,0.00332,-0.17779,1.2861,-0.00665,0.19268,-0.21575
"481","1",0.49788,0.45468,-0.09765,-0.31685,1.02119,0.16767,0.29338,-0.15487,0.58489,0.19268,0.40148
"487","1",0.49788,-1.22751,-0.57009,-0.31685,1.8399,-1.7625,1.24033,-1.07533,0.25953,0.19268,-0.52593
"491","1",1.09449,-0.05921,0.96082,-0.31685,0.62967,0.80523,0.44585,-0.30172,-0.78155,1.29221,1.92173
"499","1",1.82213,-0.61113,0.96082,-0.31685,1.37297,-0.69509,1.43533,-0.15487,-1.92173,0.88113,1.2247
"511","1",1.09449,1.16365,0.96082,-0.31685,0.41667,0.47617,-0.17779,-0.15487,0.25953,-0.21712,-1.18084
"516","1",0.49788,-1.7379,0.96082,-0.31685,-0.14882,0.16767,-0.71727,-1.6209,0.25953,-0.21712,-0.52593
"524","1",0.49788,-2.43591,0.96082,-0.31685,0.13606,-0.80615,-1.82919,0.13136,0.41594,-1.37983,-2.07848
"535","1",-0.07854,0.45468,-0.57009,-0.31685,0.91093,0.00332,0.88309,-2.07848,-0.52745,0.19268,-0.21575
"605","1",1.82213,1.16365,-0.57009,-0.31685,-2.52197,1.11406,1.88511,1.2861,-1.0145,-0.71126,-0.52593
"614","1",-0.07854,-2.43591,-0.57009,-0.31685,-0.24649,0.63779,-0.71727,-0.91699,0.25953,1.29221,-0.21575
"634","1",0.49788,1.98437,0.96082,-0.31685,1.23461,0.16767,-0.01928,-1.07533,-0.65253,-0.21712,1.2247
"647","1",0.49788,1.16365,-0.57009,-0.31685,1.13281,0.16767,1.06238,2.03972,-1.0145,1.29221,1.92173
"699","1",0.49788,-0.61113,-0.28519,-0.31685,0.91093,0.16767,0.44585,-0.91699,0.12331,1.29221,1.2247
"714","1",-0.95197,-0.61113,-0.57009,-0.31685,0.62967,0.47617,1.06238,1.81866,0.25953,-0.21712,0.40148
"728","1",-0.07854,-1.7379,-0.09765,-0.31685,-0.58016,0.32197,0.14143,-0.60633,0.12331,1.29221,0.7654
"734","1",-0.07854,0.45468,0.96082,-0.31685,0.22393,2.127,2.44904,1.61108,-0.65253,1.29221,1.2247
"771","1",1.09449,-0.05921,0.24923,-0.31685,1.02119,-1.23177,-0.31776,-0.30172,-0.52745,-0.21712,-0.21575
"778","1",-0.95197,-0.05921,-0.57009,-0.31685,1.02119,-2.11437,-0.17779,0.43852,-0.00665,-1.37983,-0.84637
"797","1",0.49788,-0.61113,0.96082,-0.31685,1.23461,0.63779,1.43533,0.43852,-0.65253,1.86203,-0.52593
"801","1",1.09449,0.45468,-0.57009,-0.31685,0.13606,-0.94779,-0.97631,0.76096,-0.27607,-1.37983,1.2247
"803","1",-0.95197,0.45468,0.24923,-0.31685,1.98437,-1.50796,1.43533,-1.772,0.41594,0.52975,0.07987
"810","1",1.09449,0.45468,-0.57009,-0.31685,1.23461,1.74091,0.88309,-1.92595,-1.64101,0.88113,1.2247
"815","1",-0.95197,-0.61113,-0.57009,-0.31685,0.13606,-0.94779,-0.01928,0.43852,0.7583,-0.21712,-0.52593
"842","1",-0.07854,-0.61113,-0.57009,-0.31685,0.52135,-0.43999,0.14143,-1.07533,-0.27607,-1.37983,0.07987
"859","1",-0.95197,-0.61113,-0.28519,-0.50212,1.02119,-1.23177,1.06238,-1.07533,-1.25773,2.90161,0.40148
"879","1",-0.95197,-2.43591,-0.57009,-0.31685,0.62967,-0.15487,0.88309,-0.45321,-1.38502,0.19268,1.92173
"881","1",-0.07854,-0.61113,-0.57009,-0.31685,-1.1943,1.45421,1.24033,-0.91699,-0.14277,0.52975,1.2247
"893","1",-0.07854,-1.43719,0.96082,-0.31685,3.27393,-2.11437,-0.84732,-1.07533,-2.30408,0.52975,-1.18084
"901","1",-0.07854,1.16365,-0.57009,-0.31685,0.22393,-0.69509,0.29338,-0.60633,-1.13788,0.52975,0.40148
"910","1",-0.95197,-0.61113,-0.57009,-0.31685,2.127,-2.72827,-1.97495,-0.01729,-1.38502,0.52975,-0.84637
"930","1",-0.07854,0.45468,-0.09765,-0.31685,0.73545,-0.69509,1.24033,0.94156,0.41594,0.52975,0.7654
"931","1",-0.95197,-1.43719,-0.57009,-0.31685,1.13281,-1.92173,-0.01928,1.11406,-0.78155,-0.21712,1.92173
"933","1",-0.95197,-0.61113,-0.57009,-0.31685,-1.32828,1.11406,1.24033,0.28783,-0.78155,1.86203,1.92173
"941","1",-0.95197,-0.61113,-0.57009,0.126,1.60383,-0.80615,0.58331,0.43852,-1.13788,0.88113,0.7654
"942","1",-0.07854,1.16365,-0.57009,-0.31685,1.02119,-0.30033,0.44585,0.76096,-1.25773,1.29221,0.7654
"948","1",-0.95197,0.45468,-0.57009,-0.31685,0.62967,0.00332,0.44585,-0.45321,-0.65253,-0.21712,0.40148
"958","1",1.09449,-0.61113,-0.57009,-0.31685,-0.05188,-0.69509,0.7233,2.03972,-0.40581,-0.21712,-0.21575
"981","1",-0.07854,0.45468,-0.57009,-0.31685,0.62967,-0.15487,1.88511,-1.772,1.13407,0.52975,1.2247
"1018","1",0.49788,-0.61113,-0.57009,-0.31685,0.91093,-1.37639,-1.42424,-0.45321,-0.78155,0.19268,-2.07848
"1026","1",0.49788,0.45468,-0.57009,-0.50212,0.62967,0.32197,-0.45174,-0.01729,0.58489,1.29221,1.2247
"1034","1",-0.95197,-0.61113,-0.57009,-0.31685,0.52135,0.80523,0.88309,-0.15487,-0.27607,1.29221,1.2247
"1044","1",-0.07854,1.16365,-0.57009,-0.31685,1.37297,1.2861,1.88511,-2.5383,-1.25773,1.29221,1.2247
"1058","1",1.09449,1.16365,-0.28519,-0.31685,-0.58016,0.00332,1.65653,0.59042,0.93949,-1.37983,-0.52593
"1106","1",-0.07854,-0.61113,-0.28519,-0.31685,1.98437,-0.30033,0.44585,-1.21213,-1.0145,0.19268,0.7654
"1130","1",-0.07854,-0.05921,-0.57009,-0.31685,2.28554,0.80523,0.7233,-2.07848,-1.78169,1.86203,1.92173
"1138","1",-0.95197,-0.61113,-0.57009,-0.31685,-0.92104,0.47617,0.14143,1.45039,-0.27607,-0.21712,1.2247
"1148","1",1.09449,-1.22751,-0.09765,-0.31685,-0.58016,0.63779,-0.31776,0.43852,0.93949,-0.71126,-0.52593
"1150","1",0.49788,0.45468,-0.57009,-0.31685,1.72012,-1.7625,-0.58331,-0.30172,-1.25773,0.88113,-0.84637
"1168","1",0.49788,0.45468,-0.57009,-0.31685,-1.1943,1.2861,1.43533,1.2861,0.25953,-0.71126,-0.21575
"1177","1",-0.07854,1.16365,-0.57009,-0.31685,2.127,0.47617,1.88511,-2.78793,-1.25773,1.86203,1.92173
"1187","1",1.82213,1.98437,-0.57009,-0.31685,-0.34799,0.47617,0.44585,-0.45321,-0.00665,-0.21712,0.07987
"1219","1",-0.95197,-0.05921,-0.57009,-0.31685,1.02119,0.96248,0.29338,-1.6209,-0.89891,0.88113,0.40148
"1275","1",-0.07854,-0.61113,-0.57009,0.126,-0.05188,1.45421,2.15324,-0.91699,-0.52745,1.29221,1.2247
"1276","1",0.49788,-0.05921,-0.57009,-0.31685,-1.1943,-0.30033,0.7233,0.94156,1.13407,-1.37983,0.07987
"1285","1",0.49788,0.45468,-0.57009,-0.31685,-0.58016,0.47617,2.15324,-0.45321,-0.14277,0.88113,1.2247
"1298","1",0.49788,-0.61113,-0.57009,-0.31685,-0.58016,-0.94779,1.43533,0.28783,-0.65253,-0.21712,0.07987
"1326","1",-0.95197,0.45468,-0.57009,-0.31685,-0.67825,0.80523,1.06238,1.81866,0.25953,-0.21712,-0.21575
"1346","1",-0.95197,-1.22751,-0.57009,-0.31685,1.13281,-0.94779,-0.31776,0.28783,-0.40581,-0.21712,-0.52593
"1366","1",-0.95197,-0.61113,-0.57009,-0.31685,1.49158,0.63779,1.06238,-1.47955,-1.13788,0.88113,0.7654
"1368","1",-0.07854,-0.05921,-0.57009,-0.31685,2.46262,0.16767,0.14143,-1.21213,-1.5184,1.86203,1.92173
"1384","1",1.09449,-0.61113,0.96082,-0.31685,-0.05188,-0.94779,1.06238,-0.60633,-0.27607,0.19268,0.07987
"1423","1",-0.07854,0.45468,-0.57009,-0.31685,-0.24649,0.63779,1.24033,0.76096,0.58489,0.19268,1.2247
"1465","1",1.82213,0.45468,-0.57009,-0.31685,-1.86962,0.80523,0.88309,1.61108,0.93949,-0.21712,0.07987
"1473","1",-0.07854,-0.61113,-0.57009,-0.31685,2.46262,-1.92173,-0.58331,-2.35413,-2.30408,1.29221,1.2247
"1478","1",-0.07854,-0.61113,-0.57009,0.1144,1.37297,0.32197,0.7233,0.94156,0.12331,-0.71126,0.07987
"1479","1",1.09449,0.45468,-0.57009,-0.31685,1.60383,-2.32338,0.14143,-0.01729,-2.04506,0.88113,-2.07848
"1658","1",0.49788,-0.05921,0.96082,-0.31685,1.60383,0.16767,2.15324,-1.34289,-1.38502,1.86203,1.92173
"1710","1",0.49788,1.16365,0.96082,-0.31685,-0.79151,0.63779,-0.84732,-1.07533,0.25953,-0.71126,-0.21575
"1763","1",-0.07854,-0.61113,-0.57009,-0.31685,0.52135,1.93886,1.43533,-0.30172,0.93949,-0.71126,1.2247
"1771","1",-0.07854,1.16365,-0.57009,-0.31685,0.91093,0.63779,-0.45174,-1.21213,-0.78155,0.88113,1.92173
"1772","1",-0.95197,-1.22751,0.21128,-0.31685,0.82562,-0.43999,0.44585,0.43852,-1.0145,-0.71126,0.40148
"1775","1",1.09449,-1.7379,0.96082,-0.31685,1.02119,-0.69509,-1.68062,-0.30172,-0.89891,1.86203,1.92173
"1778","1",-0.95197,0.45468,-0.57009,-0.31685,1.37297,-0.69509,-2.09015,-1.34289,-1.0145,0.19268,0.40148
"1789","1",0.49788,1.98437,-0.57009,-0.31685,-0.24649,-0.15487,0.7233,0.13136,2.33337,-1.37983,-1.54858
"1807","1",-0.95197,-1.43719,-0.57009,-0.31685,1.23461,1.11406,1.06238,-1.47955,0.12331,0.88113,1.92173
"1810","1",-0.07854,-1.22751,-0.28519,-0.31685,1.37297,-0.15487,0.44585,-1.34289,-1.25773,0.88113,1.92173
"1827","1",-0.07854,0.45468,-0.57009,0.1144,0.82562,-1.6334,-0.31776,-1.47955,-1.13788,-1.37983,-1.18084
"1828","1",-0.07854,0.45468,-0.09765,-0.31685,0.13606,-2.32338,0.29338,-1.07533,-0.89891,-0.71126,-0.52593
"1837","1",-0.07854,-0.05921,-0.09765,-0.31685,-1.55078,0.96248,1.88511,1.45039,0.25953,1.29221,1.92173
"1838","1",1.82213,0.45468,-0.57009,-0.31685,0.41667,0.63779,0.44585,1.45039,-0.14277,0.88113,-0.52593
"1846","1",-0.95197,-0.61113,0.24923,-0.31685,0.62967,-0.94779,0.44585,0.59042,1.13407,1.86203,1.2247
"1861","1",1.82213,0.45468,0.24923,-0.31685,-1.69163,-1.09207,1.06238,-0.45321,-0.65253,-0.71126,0.07987
"1868","1",-0.95197,-0.61113,-0.57009,-0.31685,1.13281,-0.43999,0.29338,-0.76096,-0.14277,1.86203,-0.21575
"1","0",0.49788,-0.05921,0.96082,0.126,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084
"4","0",-0.95197,1.16365,0.96082,-0.31685,-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084
"5","0",0.49788,1.98437,0.96082,-0.31685,0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575
"6","0",2.59171,-1.22751,0.24923,-0.31685,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858
"9","0",0.49788,-0.05921,0.24923,-0.31685,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858
"11","0",-0.07854,0.45468,0.96082,-0.31685,-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987
"13","0",1.82213,0.45468,0.96082,-0.31685,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987
"14","0",1.82213,-0.05921,0.24923,-0.31685,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637
"15","0",1.82213,-0.05921,0.96082,-0.31685,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654
"17","0",0.49788,-0.61113,0.96082,-0.31685,-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848
"27","0",1.82213,-1.22751,0.24923,-0.31685,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,0.19268,-1.54858
"29","0",0.49788,1.16365,0.96082,-0.31685,0.04257,-1.50796,-0.71727,0.28783,1.30612,0.19268,-0.52593
"32","0",0.49788,-1.7379,-0.28519,-0.31685,-1.1943,-0.80615,0.14143,-0.60633,-0.00665,-1.37983,-0.84637
"40","0",2.59171,-0.05921,0.96082,-0.31685,-0.24649,-0.94779,-1.11902,-0.76096,0.41594,-1.37983,-0.21575
"42","0",0.49788,0.45468,0.96082,-0.31685,0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575
"46","0",-0.07854,0.45468,0.96082,-0.31685,-0.46725,0.47617,1.24033,0.94156,1.63088,-1.37983,-2.07848
"47","0",1.09449,-0.61113,0.24923,-0.31685,0.31287,0.63779,-1.11902,0.28783,1.46191,-0.71126,-0.84637
"50","0",-0.07854,1.16365,0.96082,-0.22166,0.82562,-0.57545,-1.97495,-0.91699,0.25953,0.52975,1.2247
"53","0",1.82213,0.45468,0.96082,-0.31685,-0.14882,0.00332,-1.42424,0.28783,-0.78155,0.52975,-1.54858
"56","0",1.82213,-0.05921,0.96082,-0.31685,0.04257,-0.69509,-1.11902,-0.45321,-0.40581,-1.37983,-2.07848
"57","0",0.49788,-0.61113,0.96082,-0.31685,0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858
"58","0",-0.07854,0.45468,0.96082,-0.31685,-0.58016,0.63779,-1.97495,0.28783,0.7583,-0.71126,-0.52593
"61","0",-0.07854,1.98437,0.96082,-0.31685,1.37297,0.32197,0.29338,-0.30172,-0.27607,-1.37983,0.07987
"70","0",1.09449,-1.7379,0.96082,-0.31685,-0.05188,-0.69509,-1.68062,0.28783,-0.00665,-1.37983,-0.84637
"72","0",1.09449,-1.22751,0.24923,-0.31685,-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.84637
"75","0",2.59171,-1.7379,0.96082,-0.31685,-1.1943,-1.7625,-2.8595,-1.47955,0.25953,0.52975,-2.07848
"77","0",1.09449,-1.43719,0.24923,-0.31685,-0.34799,-0.69509,-1.55521,0.43852,0.58489,-2.55524,-2.07848
"81","0",2.59171,1.98437,0.24923,-0.31685,0.04257,0.32197,0.44585,-0.15487,1.46191,-0.21712,-0.21575
"84","0",1.82213,-1.43719,0.96082,-0.22166,1.02119,-0.94779,-1.11902,1.45039,-1.64101,0.19268,-0.21575
"86","0",-0.07854,-1.22751,0.96082,-0.31685,-0.46725,0.00332,-1.55521,0.13136,0.41594,0.52975,1.2247
"89","0",0.49788,-0.61113,0.96082,-0.31685,0.31287,-1.92173,-1.42424,-0.76096,-0.52745,-1.37983,-2.07848
"90","0",0.49788,1.16365,0.96082,-0.31685,0.91093,-0.57545,0.29338,-0.60633,-0.27607,0.52975,-0.21575
"91","0",0.49788,1.16365,0.96082,-0.31685,1.37297,0.32197,0.7233,0.28783,-0.78155,-1.37983,0.07987
"94","0",2.59171,-1.7379,0.96082,-0.31685,-0.14882,-0.80615,-0.97631,0.76096,0.41594,-1.37983,-1.54858
"97","0",0.49788,0.45468,0.24923,-0.31685,0.13606,-1.09207,0.29338,-0.15487,0.7583,-1.37983,-1.54858
"98","0",1.09449,1.16365,0.96082,-0.31685,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,0.19268,-0.84637
"100","0",-0.07854,0.45468,0.96082,-0.31685,-0.67825,3.00537,0.7233,0.94156,1.63088,0.52975,0.40148
"102","0",1.09449,-1.7379,-0.09765,-0.31685,-0.58016,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.84637
"104","0",1.09449,-0.05921,0.24923,-0.31685,0.04257,0.63779,-0.31776,-0.30172,0.12331,0.19268,0.7654
"105","0",-0.07854,-0.61113,0.24923,-0.31685,-0.92104,0.16767,-0.17779,1.11406,0.58489,-0.71126,0.07987
"107","0",-0.07854,-0.61113,0.96082,-0.31685,1.02119,-0.30033,-1.82919,0.28783,-0.40581,-1.37983,-0.84637
"108","0",0.49788,-1.7379,0.96082,-0.31685,0.13606,0.00332,-1.27553,-0.76096,0.58489,0.52975,-0.21575
"109","0",-0.07854,0.45468,0.96082,-0.31685,-0.46725,2.127,0.14143,0.13136,0.7583,1.86203,1.2247
"110","0",1.09449,-0.61113,0.96082,-0.31685,-0.79151,0.47617,-1.42424,-0.91699,-0.52745,-0.71126,0.07987
"113","0",-0.07854,0.45468,0.96082,-0.31685,-1.1943,0.32197,0.88309,-1.21213,-0.78155,-0.21712,-0.21575
"114","0",1.09449,-0.05921,0.96082,-0.31685,0.04257,0.63779,0.29338,0.13136,0.7583,0.19268,-0.21575
"116","0",-0.07854,-0.05921,0.24923,-0.31685,0.22393,-0.57545,-0.84732,0.28783,1.13407,-1.37983,-2.07848
"119","0",0.49788,-0.61113,-0.57009,-0.31685,1.8399,-1.92173,-2.39883,1.11406,0.25953,-0.21712,-1.54858
"120","0",0.49788,0.45468,0.96082,-0.31685,-0.34799,0.63779,-0.97631,0.28783,1.46191,-0.21712,-0.84637
"121","0",-0.07854,1.16365,0.96082,-0.31685,-1.05308,0.63779,-0.97631,-1.07533,0.7583,0.19268,1.92173
"122","0",0.49788,-0.05921,0.96082,-0.31685,1.49158,-1.23177,-1.55521,-2.07848,-0.78155,0.52975,0.07987
"124","0",-0.07854,0.45468,0.96082,-0.31685,0.22393,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987
"128","0",1.09449,-1.43719,0.96082,-0.31685,-0.34799,-0.80615,-0.84732,0.28783,0.93949,-1.37983,-2.07848
"130","0",1.09449,1.16365,0.96082,-0.31685,-0.79151,0.96248,-1.11902,0.94156,0.41594,0.19268,0.40148
"131","0",1.09449,-1.7379,0.96082,-0.31685,0.91093,0.32197,-1.42424,0.43852,2.33337,-0.71126,-1.18084
"132","0",1.09449,-1.7379,0.96082,0.1144,-1.55078,-0.15487,-1.27553,2.46262,0.58489,-1.37983,-2.07848
"133","0",0.49788,-1.22751,0.21128,-0.31685,-0.24649,-0.57545,-0.58331,-0.15487,0.25953,-1.37983,-1.54858
"135","0",-0.07854,1.16365,0.96082,0.126,3.27393,-1.50796,-0.31776,0.59042,-0.65253,-1.37983,0.40148
"136","0",0.49788,-1.7379,0.96082,-0.31685,-1.69163,1.58487,-0.58331,1.81866,1.63088,0.52975,-0.52593
"137","0",1.09449,0.45468,0.96082,-0.31685,-0.14882,-0.30033,-1.68062,1.81866,1.63088,1.29221,0.07987
"138","0",1.09449,0.45468,0.96082,-0.31685,-1.1943,1.58487,0.29338,0.76096,0.41594,-2.55524,-1.18084
"141","0",-0.07854,0.45468,0.96082,-0.50212,1.98437,0.32197,1.43533,0.94156,-0.27607,-0.71126,-0.21575
"142","0",0.49788,-1.7379,0.96082,-0.31685,-0.79151,0.63779,-1.11902,1.2861,0.58489,-1.37983,-2.07848
"146","0",1.09449,0.45468,0.96082,-0.31685,-0.46725,0.16767,-1.11902,2.23427,0.7583,1.29221,0.40148
"149","0",0.49788,-0.05921,0.96082,-0.31685,-0.05188,-1.09207,-2.63199,-0.91699,0.25953,-1.37983,-1.54858
"150","0",1.09449,0.45468,0.96082,-0.31685,-0.79151,1.93886,-0.71727,2.03972,1.63088,-0.21712,-1.18084
"151","0",0.49788,-0.61113,0.96082,-0.31685,-0.24649,1.2861,0.14143,0.59042,1.13407,0.19268,0.07987
"152","0",0.49788,0.45468,0.96082,-0.31685,0.52135,-1.6334,-1.82919,0.43852,-0.89891,-0.71126,-0.84637
"153","0",-0.07854,0.45468,0.96082,-0.31685,-0.46725,-1.50796,-0.71727,-0.60633,-0.65253,-2.55524,-1.54858
"155","0",-0.95197,-0.61113,0.96082,-0.31685,2.82196,-1.37639,0.7233,-0.45321,0.58489,-0.21712,0.7654
"156","0",0.49788,0.45468,0.96082,-1.10702,0.62967,-1.37639,-1.27553,0.28783,-0.27607,-0.71126,-0.84637
"157","0",0.49788,-0.61113,0.96082,-0.31685,1.23461,0.00332,-0.31776,1.11406,0.12331,0.19268,-0.52593
"159","0",0.49788,0.45468,-0.09765,-0.31685,-0.24649,0.16767,-0.31776,-0.30172,0.41594,0.88113,1.2247
"160","0",1.09449,-0.61113,0.96082,-1.10702,-0.46725,-0.57545,-0.58331,0.13136,0.25953,-0.21712,-1.18084
"163","0",-0.07854,0.45468,-0.46841,-0.31685,0.22393,0.00332,-0.17779,1.61108,0.93949,-1.37983,-0.21575
"164","0",-0.07854,-0.61113,0.96082,-0.31685,1.8399,0.00332,-0.31776,0.94156,0.12331,-0.21712,-0.84637
"165","0",-0.07854,1.98437,0.96082,-0.31685,0.13606,0.32197,-1.55521,1.45039,1.13407,-1.37983,-0.52593
"168","0",-0.07854,-0.05921,0.96082,-1.10702,0.04257,0.00332,-0.97631,-0.45321,0.93949,0.52975,-0.52593
"169","0",-0.07854,0.45468,0.96082,-0.31685,0.22393,1.2861,-1.27553,-0.30172,-1.13788,0.52975,0.40148
"170","0",-0.95197,-1.22751,0.96082,-0.31685,-0.34799,0.00332,-1.42424,0.59042,-0.14277,-0.71126,0.40148
"173","0",1.09449,-0.05921,0.96082,-0.31685,0.52135,-0.57545,-0.45174,-0.45321,0.7583,0.19268,-1.18084
"174","0",0.49788,0.45468,0.96082,-0.31685,1.02119,0.63779,1.24033,0.13136,0.25953,0.52975,0.40148
"175","0",0.49788,-0.05921,0.96082,-0.31685,1.02119,-0.57545,-2.21069,0.76096,-1.5184,0.88113,0.07987
"176","0",1.82213,0.45468,0.96082,-0.31685,0.62967,0.00332,0.44585,1.2861,0.12331,0.19268,0.07987
"177","0",0.49788,0.45468,0.96082,0.1144,-0.14882,-0.57545,-0.84732,-1.21213,-0.52745,-1.37983,-1.18084
"178","0",0.49788,0.45468,0.96082,-0.31685,1.49158,0.00332,-1.27553,-0.91699,1.13407,-0.71126,-0.52593
"179","0",1.09449,0.45468,0.96082,-0.31685,0.82562,-0.94779,-0.45174,0.76096,-0.14277,0.19268,-0.21575
"180","0",0.49788,-0.05921,0.96082,-0.31685,0.41667,-0.15487,-0.97631,1.11406,-0.65253,-1.37983,-1.18084
"181","0",1.09449,-0.05921,0.96082,-0.31685,0.31287,0.63779,-1.55521,0.28783,0.93949,0.19268,0.07987
"183","0",0.49788,-0.61113,0.96082,-0.31685,0.31287,0.80523,-0.31776,1.2861,0.7583,-1.37983,-1.18084
"184","0",-0.95197,0.45468,0.96082,-0.31685,1.98437,-0.43999,0.29338,-0.76096,0.93949,-0.71126,0.40148
"186","0",0.49788,0.45468,0.24923,-0.31685,0.31287,0.63779,-0.01928,0.76096,-0.14277,-0.21712,-0.52593
